seqid	source	type	start	end	score	strand	phase	attributes	chr	id	old_lt
CP023154	GenBank	CDS	1	1263	.	+	1	ID=PFDSM3638_00005.p01;Parent=PFDSM3638_00005.t01;Name=PFDSM3638_00005;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_013748124.1;product=cell division control protein Cdc6;protein_id=PRJNA382684:PFDSM3638_00005;transl_table=11;translation=length.420	CP023154	PFDSM3638_00005	PF0017
CP023154	GenBank	CDS	1263	3104	.	+	1	ID=PFDSM3638_00010.p01;Parent=PFDSM3638_00010.t01;Name=PFDSM3638_00010;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011130.1;product=DNA polymerase II;protein_id=PRJNA382684:PFDSM3638_00010;transl_table=11;translation=length.613	CP023154	PFDSM3638_00010	PF0018
CP023154	GenBank	CDS	3104	6895	.	+	1	ID=PFDSM3638_00015.p01;Parent=PFDSM3638_00015.t01;Name=PFDSM3638_00015;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014835497.1;product=DNA polymerase II large subunit;protein_id=PRJNA382684:PFDSM3638_00015;transl_table=11;translation=length.1263	CP023154	PFDSM3638_00015	PF0019
CP023154	GenBank	CDS	6947	7579	.	+	1	ID=PFDSM3638_00020.p01;Parent=PFDSM3638_00020.t01;Name=PFDSM3638_00020;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011132.1;product=hypothetical protein;protein_id=PRJNA382684:PFDSM3638_00020;transl_table=11;translation=length.210	CP023154	PFDSM3638_00020	PF0020
CP023154	GenBank	CDS	7590	8267	.	+	1	ID=PFDSM3638_00025.p01;Parent=PFDSM3638_00025.t01;Name=PFDSM3638_00025;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014835496.1;product=DNA repair and recombination protein RadB;protein_id=PRJNA382684:PFDSM3638_00025;transl_table=11;translation=length.225	CP023154	PFDSM3638_00025	PF0021
CP023154	GenBank	CDS	8264	9673	.	-	1	ID=PFDSM3638_00030.p01;Parent=PFDSM3638_00030.t01;Name=PFDSM3638_00030;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011134.1;product=RNA-binding protein;protein_id=PRJNA382684:PFDSM3638_00030;transl_table=11;translation=length.469	CP023154	PFDSM3638_00030	PF0022
CP023154	GenBank	CDS	9627	10334	.	-	1	ID=PFDSM3638_00035.p01;Parent=PFDSM3638_00035.t01;Name=PFDSM3638_00035;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014835495.1;product=hypothetical protein;protein_id=PRJNA382684:PFDSM3638_00035;transl_table=11;translation=length.235	CP023154	PFDSM3638_00035	PF0023
CP023154	GenBank	CDS	14577	15917	.	-	1	ID=PFDSM3638_00040.p01;Parent=PFDSM3638_00040.t01;Name=PFDSM3638_00040;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014835493.1;product=glycerate kinase;protein_id=PRJNA382684:PFDSM3638_00040;transl_table=11;translation=length.446	CP023154	PFDSM3638_00040	PF0024
CP023154	GenBank	CDS	15972	16763	.	+	1	ID=PFDSM3638_00045.p01;Parent=PFDSM3638_00045.t01;Name=PFDSM3638_00045;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011137.1;product=class II glutamine amidotransferase;protein_id=PRJNA382684:PFDSM3638_00045;transl_table=11;translation=length.263	CP023154	PFDSM3638_00045	PF0025
CP023154	GenBank	CDS	16744	18105	.	-	1	ID=PFDSM3638_00050.p01;Parent=PFDSM3638_00050.t01;Name=PFDSM3638_00050;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011138.1;product=CCA tRNA nucleotidyltransferase;protein_id=PRJNA382684:PFDSM3638_00050;transl_table=11;translation=length.453	CP023154	PFDSM3638_00050	PF0026
